Model,Accuracy,F1 Score,Precision,Recall,CV Accuracy,CV Std,Rank,Best
Decision Tree,1.0,1.0,1.0,1.0,0.6828956422887458,0.22373679894275705,1,⭐ BEST
Random Forest,1.0,1.0,1.0,1.0,0.7001264115195149,0.2762925557819154,2,
SVC,1.0,1.0,1.0,1.0,0.740504888215233,0.24732978369888828,3,
KNN,1.0,1.0,1.0,1.0,0.6383379310344827,0.23493040916119534,4,
Gradient Boosting,1.0,1.0,1.0,1.0,0.7217846153846155,0.262096664041676,5,
Logistic Regression,0.9501538461538461,0.9479099678456592,0.9546632124352331,0.9412515964240102,0.7398766199317923,0.23416767207237024,6,
Gaussian Naive Bayes,0.8633846153846154,0.8626237623762376,0.8367346938775511,0.8901660280970626,0.5892394088669951,0.08648098406037175,7,
